CDS Code,[Lookup] District Master,County,District Name,District Type,Grade Levels,Student Enrollment (2024-25),Number of Schools (2024-25),County Superintendent (CCESSA) Region,Locale Classifications,Percent of Republican Votes (2020),Percent of Democratic Votes (2020),Overall Political Leaning (2020),Percent of Republican Votes (2024),Percent of Democratic Votes (2024),Overall Political Leaning (2024),Mean Income of Population in District Area,Median Income of Population in District Area,Student to Teacher Ratio,Average Chronic Absenteeism Rate,Expense per ADA (2022-23),Number of Title I Schools (2023-24),Average Pollution Burden Percentile,Percent English Learners (2024-25),Percent Unduplicated Students (2024-25),Percent of Students Receiving FRM (2024-25),Funding sources for sustainability efforts identified in LCAP,LCAP Funding Status,LCAP Direct Funding Total,LCAP Lumped Funding Total,Description of Funding,Environmental Vision or Goals Identified in LCAP,Description of vision or goals in LCAP (from [Lookup] District Master),Key Terms Identified in LCAP,Total GO Bonds and Parcel Taxes Attempted (2010 - 2029),Total GO Bonds and Parcel Taxes Passed (2010 - 2029),Most Recent Passed GO Bond Measure Year (2010-2029),Total Amount of GO Bond Measure Funding ($) (2010-2029),2024_election_bond_language,2023_election_bond_language,2022_election_bond_language,2021_election_bond_language,2020_election_bond_language,2019_election_bond_language,2018_election_bond_language,2017_election_bond_language,2016_election_bond_language,2015_election_bond_language,2014_election_bond_language,2013_election_bond_language,2012_election_bond_language,2011_election_bond_language,2010_election_bond_language,Environmental and Climate Literacy and Action Overall Indicator Status (20 points)
01612420000000,01612420000000,Alameda,New Haven Unified,Unified School District,K-Adult,10069,14,4,Suburban,23.2,75.1,Mildly Democratic,29.6,66.4,Mildly Democratic,$181277.83,$146623.90,21,32.41,$15743.49,12,29.04%,16.03,61.15,54.72,0,No Funding,,,N/A,0,N/A,N/A,2,2,2024,$397000000.00,"November 5, 2024: New Haven Unified School District Classroom, Science Lab, Student Safety Measure.To repair/ upgrade local schools, including classrooms/ labs for science, technology, engineering, math, reading/ writing; improving campus safety/ security; replacing aging roofs, heating/ cooling systems, restrooms/ plumbing, shall New Haven Unified School District's measure authorizing $272,000,000 in bonds at legal rates be adopted, at average levies of $60 per $100,000 assessed value (approximately $17,200,000 annually) while bonds are outstanding, with independent oversight, audits, no funds for administrator salaries, and funds used locally?",,,,,,,,,,"November 4, 2014: To continue critical school renovation and modernization projects, replace old portables with permanent classrooms, update school safety and security, improve student access to computers and technology, upgrade athletic facilities, increase the energy efficiency of classrooms and buildings, replace, acquire, construct and renovate District facilities and provide District_wide technology improvements, shall the New Haven Unified School District issue $125 million in bonds at legal interest rates with an independent citizens� oversight committee?�",,,,,9.50
01612340000000,01612340000000,Alameda,Newark Unified,Unified School District,K-Adult,4666,11,4,Suburban,24.2,74.0,Mildly Democratic,30.2,65.7,Mildly Democratic,$207905.60,$180852.90,18,18.37,$16956.86,5,37.93%,21.26,48.84,40.76,1,Direct Funding,$70000,,"Allocating $70,000 to promoting environmental literacy and environmental learning opportunities like field trips, outdoor education, etc.  Pg. 118",1,"To meet
the requirements of AB 285, there will be professional learning
communities for secondary teachers on the causes and effects of climate
change, and on the methods to mitigate and adapt to climate change, with
a focus on project based learning as a vehicle for supporting students to
develop climate change solutions. Destinations for each grade level are identified based on the NGSS and/or FOSS module for that
grade level as outlined in the NewGO! scope & California Healthy Kids Survey... Pg. 100 - 104","climate change, environmental literacy",1,1,2024,$205000000.00,"November 5, 2024: To update schools for 21st century learning, classrooms/ labs for science, technology, engineering, arts and math instruction; technology infrastructure, HVAC, electrical/plumbing systems; and school security/ emergency preparedness; shall Newark Unified School District's measure authorizing $205,000,000 in bonds at legal interest rates be adopted, with average levies of $50 per $100,000 assessed valuation while bonds are outstanding, generating approximately $14,000,000 annually, extending not increasing estimated tax rates, with citizen oversight, annual audits and no funds for administrators?",,,,,,,,,,,,,"November 8, 2011: To preserve quality education, provide safe and modern schools, and qualify for matching funds, shall Newark Unified School District update aging classrooms, libraries, and science labs to meet earthquake/fire/safety standards; improve access for students with disabilities, remove asbestos, lead and hazardous materials; and improve energy/operational efficiency to maximize funding for instructional programs; by issuing $63 million in bonds at legal rates, with independent oversight, no money for administrators' salaries, and all funds staying in Newark?",,10.50
01612590000000,01612590000000,Alameda,Oakland Unified,Unified School District,TK-Adult,44627,111,4,Urban,7.4,90.6,Strongly Democratic,9.7,85.2,Strongly Democratic,$148058.55,$108449.51,17,64.64,$25490.88,67,42.73%,32.08,82.13,80.61,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,"November 3, 2020: Shall Oakland Unified School District's measure to issue $735 million in bonds for: classroom repair and school safety improvements including upgrading classrooms, science labs, and technology; improving student safety and security; repairing bathrooms, electrical systems, and plumbing/sewers; and improving energy efficiency/earthquake safety; at legal rates, levying about $60 per $100,000 of assessed value, raising an average of $48.5 million annually for approximately 30 years, with citizens' oversight, audits, and no money for administrator salaries be adopted?",,,,,,,,"November 6, 2012: To improve the quality of Oakland schools and school facilities to better prepare students for college and jobs, to upgrade science labs, classrooms, computers and technology, improve student safety and security, repair bathrooms, electrical systems, plumbing and sewer lines, improve energy efficiency and earthquake safety, shall the Oakland Unified School District be authorized to issue $475 million in bonds, with an independent citizens oversight committee and annual audits to guarantee funds are spent properly to benefit Oakland children?",,,13.00
01612750000000,01612750000000,Alameda,Piedmont City Unified,Unified School District,K-Adult,2455,7,4,Suburban,6.5,91.9,Strongly Democratic,6.6,89.6,Strongly Democratic,$249309.91,$154823.00,16,11.33,$23693.82,2,29.03%,0.90,4.93,3.79,1,Lumped Funding,,$10000,"$10,000 is allocated for field trips, science-education based field trips included. Pg. 55-56",1,"Action 3.5. Science Education and Environmental Partnerships -- The district and site leaders took tangible steps to partner with respect to
this action, and additional steps will be taken the following year. For example, we partnered with a climate literacy expert from Fremont USD
for a district-wide professional development workshop this year which was provided for secondary staff. Sites also prioritized science theme
field trips (i.e.Berkeley Botanical Garden (science, grade 1 - includes hands-on exhibits, Point Reyes Earthquake Trail/Nature Walk, science,
grade 4). We are interested in improving climate literacy systems on campuses such as recycling/composting in addition to further
integration across the curriculum. Pg. 52","climate literacy, science education, environmental partnerships",2,2,2022,$1210000000.00,,,,,,,,,"November 8, 2016: To improve educational facilities and equipment to support advanced courses in math, science, engineering, arts and technology; repair and modernize aging science labs and classrooms at the high school and middle school; repair deteriorating roofs, plumbing, heating, ventilation and electrical systems; add kindergarten classrooms; and improve the likelihood of qualifying for state matching funds, shall Piedmont Unified School District issue 66 million dollars in bonds at legal interest rates, with independent citizen oversight and audits?",,,,,,,13.00
01751010000000,01751010000000,Alameda,Pleasanton Unified,Unified School District,TK-Adult,13338,18,4,Urban,29.1,68.8,Mildly Democratic,31.1,65.0,Mildly Democratic,$238920.92,$175189.40,21,16.16,$15834.99,4,33.85%,8.88,16.32,9.91,0,No Funding,,,N/A,0,N/A,N/A,1,1,2018,$13000000.00,,,"November 8, 2022: To continue replacing/modernizing deteriorating plumbing, roofs, electrical/HVAC systems, classrooms, science labs, performing arts, physical education facilities/spaces, and alternative high school facilities; constructing career technical/early childhood education classrooms; making safety/access improvements for students with disabilities; shall Pleasanton Unified School District's measure authorizing $395,000,000 in bonds at legal rates, levying approximately $49 per $100,000 of assessed valuation ($26,000,000 annually) while bonds are outstanding, be adopted, requiring audits/oversight?",,,,,,"November 8, 2016: To repair and upgrade aging classrooms and facilities at local schools; provide 21st -century learning technology and facilities; improve school safety and security; update science labs; improve energy and water efficiency; renovate, construct, and acquire classrooms, equipment and facilities; and construct a new elementary school, shall Pleasanton Unified School District issue $270,000,000 in bonds, at legal rates, with independent citizen oversight, annual audits, all funds used for local schools, and no money used for administrators� salaries?",,,,,,,10.50
01612910000000,01612910000000,Alameda,San Leandro Unified,Unified School District,K-Adult,8866,14,4,Suburban,18.5,79.6,Mildly Democratic,22.9,73.6,Mildly Democratic,$125417.69,$103205.86,21,35.44,$18225.65,12,45.33%,23.31,79.45,75.38,0,No Funding,,,N/A,0,N/A,N/A,2,1,2016,$66000000.00,"March 5, 2024: With no increase in current estimated tax rates, shall San Leandro Unified School District's measure to renovate/construct classrooms; repair roofs, plumbing, and electrical systems; remove hazardous materials; and construct below-market rental housing to attract/retain teachers/staff be adopted, authorizing $174 million of bonds with levies averaging $37.28 per $100,000 of assessed valuation (raising $12 million annually) while bonds are outstanding, legal interest rates, citizen oversight/independent audits, and funds that cannot be taken by the State?",,,,"March 3, 2020: To repair, construct, acquire and equip classrooms, science labs, career training, and school facilities that support college/career readiness in science, technology, engineering, arts, and math and skilled trades; keep instructional technology current; and improve student safety/campus security, shall the San Leandro Unified School District measure authorizing $198,000,000 in bonds at legal rates be adopted, levying approximately 4 cents per $100 assessed value ($10,000,000 annually) while bonds are outstanding, with citizen oversight and all money benefiting San Leandro children?",,,,"November 8, 2016: To repair leaky roofs, faulty plumbing and electrical systems; improve heating and ventilation; improve student safety by upgrading security lighting, emergency communications, fire alarms and sprinklers; upgrade classrooms, libraries and science labs; replace deteriorating portables; and provide facilities and equipment needed to support instruction in math, science, engineering, arts and technology; shall San Leandro Unified School District issue $104,000,000 in bonds at legal interest rates, with citizens� oversight, annual audits and all money benefiting San Leandro children?",,,,,,"November 2, 2010: To continue to improve and modernize its schools, renovate athletic facilities including Burrell Field, replace the pools at San Leandro High School, enhance energy efficiency and promote safe, healthy schools for all students, shall the San Leandro Unified School District be authorized to replace, renovate, acquire and construct school facilities, and issue $50,100,000 in bonds at legal interest rates with no funds for administrator salaries, conduct annual independent audits, and appoint an Independent Oversight Committee to monitor bond expenditures?",10.00
01613090000000,01613090000000,Alameda,San Lorenzo Unified,Unified School District,TK-Adult,9045,20,4,Suburban,23.5,74.5,Mildly Democratic,29.3,67.2,Mildly Democratic,$118874.78,$97541.96,18,35.24,$18347.87,15,41.03%,31.02,80.23,75.06,0,No Funding,,,N/A,0,N/A,N/A,4,3,2024,$860000000.00,"November 5, 2024: To modernize/construct classrooms and school facilities; make health, safety and security improvements; upgrade deteriorating plumbing, sewer, and irrigation systems; upgrade outdated technology infrastructure; and replace aging heating and ventilation systems; shall the measure authorizing San Lorenzo Unified School District to issue $195,000,000 of bonds at legal rates be adopted, generating on average $12,400,000 annually while bonds are outstanding at rates of approximately $60 per $100,000 assessed value, with citizens' oversight, annual audits, and all money staying local?",,,,,,"June 5, 2018: To upgrade outdated classrooms, restrooms and educational buildings at local schools; make health, safety and security improvements; improve student access to technology; replace and upgrade outdated heating, ventilation, and electrical systems; shall San Lorenzo Unified School District issue $130,000,000 of bonds at legal rates with citizen oversights and audits, raising an average of $8,000,000 annually for bonds while bonds remain outstanding from rates estimated at $0.06 per $100 assessed valuation, with no money used for administrative salaries?",,,,,,,,,9.50
01751190000000,01751190000000,Alameda,Sunol Glen Unified,Unified School District,K-8,240,1,4,Rural,34.9,62.6,Mildly Democratic,34.2,61.3,Mildly Democratic,$279149.88,$203075.83,20,9.20,$17731.84,1,28.25%,5.00,13.75,9.17,0,No Funding,,,N/A,0,N/A,N/A,2,1,2022,$10900000.00,,,"November 8, 2022: To improve the quality of education facilities; make safety and security improvements; renovate electrical, plumbing and HVAC systems; repair/replace leaky roofs; and construct a technology, engineering, and math lab; shall Sunol Glen Unified School District's measure be adopted authorizing the issuance of $10,900,000 of bonds at legal interest rates, generating on average $614,500 annually while bonds are outstanding, at rates of approximately 5.2 cents per $100 assessed value, with annual audits, citizens' oversight, and no money for salaries?",,,,,,,,,,,,,8.00
02613330000000,02613330000000,Alpine,Alpine County Unified,Unified School District,K-12,57,2,3,Rural,32.9,64.2,Mildly Democratic,32.9,64.9,Mildly Democratic,$124733.00,$98236.00,8,55.70,$59798.03,2,10.81%,0.00,68.42,0.00,0,No Funding,,,N/A,0,N/A,N/A,1,1,2018,$4900000.00,,,,,,,"November 6, 2018: To improve local school safety systems; provide accessibility for students with disabilities; update classrooms and improve technology to support quality instruction; update plumbing, heating, AC and electrical systems, shall Alpine County Unified School District issue $4,900,000 of bonds with an estimated $300,000 in taxes raised annually on average for 32 years at average projected tax rates of $28 per $100,000 of assessed valuation, with citizen oversight, annual audits, no funds for administrator salaries, with all funds staying local?",,,,,,,,,8.00
03739810000000,03739810000000,Amador,Amador County Unified,Unified School District,K-Adult,4035,13,6,Town,60.9,36.6,Mildly Republican,62.6,34.7,Mildly Republican,$118565.52,$98204.52,20,32.57,$15258.60,12,27.73%,2.95,40.97,37.25,0,No Funding,,,N/A,0,N/A,N/A,0,0,,$0.00,,,,,,,,,,,,,,,,8.50
04613820000000,04613820000000,Butte,Bangor Union Elementary,Elementary School District,1-8,88,1,2,Rural,68.0,30.0,Mildly Republican,70.8,27.2,Mildly Republican,$90137.80,$67565.20,18,24.70,$23848.72,1,47.21%,9.09,71.59,71.59,0,No Funding,,,N/A,1,"... we have a 4,000 square foot vegetable
garden with a paid garden docent staff member.",garden,0,0,,$0.00,,,,,,,,,,,,,,,,4.00
04614080000000,04614080000000,Butte,Biggs Unified,Unified School District,K-12,532,3,2,Rural,67.7,30.0,Mildly Republican,71.7,26.1,Mildly Republican,$95040.25,$75769.00,15,23.57,$16745.89,3,48.92%,10.71,67.67,64.29,0,No Funding,,,N/A,0,N/A,N/A,1,1,2024,$16500000.00,"November 5, 2024: To improve the quality of Biggs school facilities; replace leaky roofs; construct/modernize classrooms, restrooms and school facilities; and make health, safety and security improvements; shall the Biggs Unified School District measure be adopted authorizing $16,500,000 of bonds, at legal rates, raising on average $988,000 annually while bonds are outstanding at a rate of approximately 6 cents per $100 of assessed valuation, with annual audits, independent citizens’ oversight, NO money for administrator salaries and all money spent locally? Bond--YES or Bond--NO",,,,,,,,,,,,,,,8.00
